stage_1,stage_2,100,500,1000,5000,10000
Neural,None,0.6682,2.6433,3.4535,7.5283,8.7033
Neural,Neural-RC,0.2299,1.2005,1.4949,3.6873,3.3876
Neural,BeamSearch-RC,65.5584,110.9515,90.9975,117.4676,127.9172
BeamSearch,None,32.2945,36.0795,35.6659,34.7072,30.3187
BeamSearch,Neural-RC,4.0541,8.0190,12.6534,18.5845,17.4760
BeamSearch,BeamSearch-RC,65.1261,115.5780,102.1395,137.5625,152.4518
knn-BeamSearch,None,32.2945,70.8047,93.7529,191.5905,228.7116
knn-BeamSearch,Neural-RC,4.0541,8.6032,14.7462,28.7300,42.4340
knn-BeamSearch,BeamSearch-RC,65.1261,116.3263,105.6686,155.2750,205.2480
